ds,y,is_holiday,is_campaign,is_promo
2023-01-01 00:00:00,6704.738853971215,1,0,0
2023-01-01 01:00:00,4579.5893662525405,1,0,0
2023-01-01 02:00:00,3986.9323289808203,1,0,0
2023-01-01 03:00:00,4706.654817037565,1,0,0
2023-01-01 04:00:00,4699.417717488551,1,0,0
2023-01-01 05:00:00,4381.599869962851,1,0,0
2023-01-01 06:00:00,4568.910757198921,1,0,0
2023-01-01 07:00:00,4835.24383531173,1,0,0
2023-01-01 08:00:00,4708.055903952524,1,0,0
2023-01-01 09:00:00,4340.043770450613,1,0,0
2023-01-01 10:00:00,4858.435401726894,1,0,0
2023-01-01 11:00:00,3983.724067086911,1,0,0
2023-01-01 12:00:00,4304.574099368168,1,0,0
2023-01-01 13:00:00,4138.174249770742,1,0,0
2023-01-01 14:00:00,4136.839452858515,1,0,0
2023-01-01 15:00:00,5494.598617271488,1,0,0
2023-01-01 16:00:00,5587.831582105319,1,0,0
2023-01-01 17:00:00,4489.090928503156,1,0,0
2023-01-01 18:00:00,4741.200534279747,1,0,0
2023-01-01 19:00:00,5212.813975397855,1,0,0
2023-01-01 20:00:00,4144.417124926475,1,0,0
2023-01-01 21:00:00,4152.908173721043,1,0,0
2023-01-01 22:00:00,3707.7639073052296,1,0,0
2023-01-01 23:00:00,4330.762863745301,1,0,0
2023-01-02 00:00:00,5433.371375749313,1,0,0
2023-01-02 01:00:00,6270.397713465702,1,0,0
2023-01-02 02:00:00,6239.1958646713765,1,0,0
2023-01-02 03:00:00,7849.433542928798,1,0,0
2023-01-02 04:00:00,5782.878067878352,1,0,0
2023-01-02 05:00:00,5503.533653373472,1,0,0
2023-01-02 06:00:00,4997.498529589896,1,0,0
2023-01-02 07:00:00,5994.606868717725,1,0,0
2023-01-02 08:00:00,7923.029595433756,1,0,0
2023-01-02 09:00:00,5923.593685623883,1,0,0
2023-01-02 10:00:00,4976.744238171856,1,0,0
2023-01-02 11:00:00,4972.934109708267,1,0,0
2023-01-02 12:00:00,6327.620443980779,1,0,0
2023-01-02 13:00:00,6694.704430819901,1,0,0
2023-01-02 14:00:00,5757.879565438019,1,0,0
2023-01-02 15:00:00,5517.215680719923,1,0,0
2023-01-02 16:00:00,6734.504914885348,1,0,0
2023-01-02 17:00:00,6337.09387968849,1,0,0
2023-01-02 18:00:00,5903.511284174303,1,0,0
2023-01-02 19:00:00,6706.209009972627,1,0,0
2023-01-02 20:00:00,5886.538269178442,1,0,0
2023-01-02 21:00:00,5933.986889045075,1,0,0
