ds,rps,is_holiday,is_campaign,is_promo,is_weekend
2023-01-01 00:00:00,4118.2999846988805,1,0,0,1
2023-01-01 00:01:00,4621.836027619556,1,0,0,1
2023-01-01 00:02:00,5634.254572533654,1,0,0,1
2023-01-01 00:03:00,5008.117497191508,1,0,0,1
2023-01-01 00:04:00,4410.268880804269,1,0,0,1
2023-01-01 00:05:00,4080.464169939204,1,0,0,1
2023-01-01 00:06:00,5774.18770453937,1,0,0,1
2023-01-01 00:07:00,4268.95472583944,1,0,0,1
2023-01-01 00:08:00,3806.641259723372,1,0,0,1
2023-01-01 00:09:00,4342.779232263334,1,0,0,1
2023-01-01 00:10:00,4077.826073224149,1,0,0,1
2023-01-01 00:11:00,3840.24107084745,1,0,0,1
2023-01-01 00:12:00,4306.020065223513,1,0,0,1
2023-01-01 00:13:00,4535.624088320641,1,0,0,1
2023-01-01 00:14:00,4268.993083935675,1,0,0,1
2023-01-01 00:15:00,5245.54976346761,1,0,0,1
2023-01-01 00:16:00,3986.087995723624,1,0,0,1
2023-01-01 00:17:00,3479.658422769447,1,0,0,1
2023-01-01 00:18:00,4471.9905965733,1,0,0,1
2023-01-01 00:19:00,3990.0368210303454,1,0,0,1
2023-01-01 00:20:00,4269.025962303875,1,0,0,1
2023-01-01 00:21:00,3978.5571261714936,1,0,0,1
2023-01-01 00:22:00,4278.796340791036,1,0,0,1
2023-01-01 00:23:00,3786.877012275651,1,0,0,1
2023-01-01 00:24:00,4113.457424563631,1,0,0,1
2023-01-01 00:25:00,5380.057930534809,1,0,0,1
2023-01-01 00:26:00,4270.46870119754,1,0,0,1
2023-01-01 00:27:00,6145.071380391868,1,0,0,1
2023-01-01 00:28:00,3617.2466765776753,1,0,0,1
2023-01-01 00:29:00,4269.075279856176,1,0,0,1
2023-01-01 00:30:00,4867.573028990662,1,0,0,1
2023-01-01 00:31:00,4203.597216712902,1,0,0,1
2023-01-01 00:32:00,4126.87785008331,1,0,0,1
2023-01-01 00:33:00,3787.07329830752,1,0,0,1
2023-01-01 00:34:00,3664.618992882724,1,0,0,1
2023-01-01 00:35:00,4098.2614387691165,1,0,0,1
2023-01-01 00:36:00,4337.495540342094,1,0,0,1
2023-01-01 00:37:00,5077.884047074169,1,0,0,1
2023-01-01 00:38:00,4958.810429111762,1,0,0,1
2023-01-01 00:39:00,4153.448477898234,1,0,0,1
2023-01-01 00:40:00,4808.499352736814,1,0,0,1
2023-01-01 00:41:00,4027.286306761926,1,0,0,1
2023-01-01 00:42:00,3823.527560869647,1,0,0,1
2023-01-01 00:43:00,4038.669487707428,1,0,0,1
2023-01-01 00:44:00,4269.157475776679,1,0,0,1
2023-01-01 00:45:00,4482.600623451663,1,0,0,1
2023-01-01 00:46:00,3914.674881532411,1,0,0,1
2023-01-01 00:47:00,4323.301089955359,1,0,0,1
2023-01-01 00:48:00,4138.19487215534,1,0,0,1
2023-01-01 00:49:00,4171.579162232647,1,0,0,1
2023-01-01 00:50:00,4872.073715243945,1,0,0,1
2023-01-01 00:51:00,4855.44943273647,1,0,0,1
2023-01-01 00:52:00,4249.001040224408,1,0,0,1
2023-01-01 00:53:00,4329.162946559848,1,0,0,1
2023-01-01 00:54:00,4459.498397894027,1,0,0,1
2023-01-01 00:55:00,3583.8568897801947,1,0,0,1
2023-01-01 00:56:00,4202.258383551722,1,0,0,1
2023-01-01 00:57:00,4269.2287122411135,1,0,0,1
2023-01-01 00:58:00,4181.520503088833,1,0,0,1
2023-01-01 00:59:00,4623.965493202196,1,0,0,1
2023-01-01 01:00:00,4030.5891192187055,1,0,0,1
2023-01-01 01:01:00,4364.413900013036,1,0,0,1
2023-01-01 01:02:00,4086.876251643811,1,0,0,1
2023-01-01 01:03:00,4013.566523210706,1,0,0,1
2023-01-01 01:04:00,4740.996800328196,1,0,0,1
2023-01-01 01:05:00,4497.280227363021,1,0,0,1
2023-01-01 01:06:00,3468.530171748506,1,0,0,1
2023-01-01 01:07:00,3820.0214406469886,1,0,0,1
2023-01-01 01:08:00,4269.288989249482,1,0,0,1
